Frequency_Hz,Frequency_MHz,Quality_Score
432000000,432.0,45.50
432015000,432.015,23.25
432030000,432.03,80.75
432045000,432.045,63.38
432060000,432.06,49.62
432075000,432.075,48.62
432090000,432.09,89.88
432105000,432.105,86.88
432120000,432.12,89.12
432135000,432.135,93.00
432150000,432.15,91.75
432165000,432.165,85.00
432180000,432.18,69.62
432195000,432.195,87.12
432210000,432.21,95.25
432225000,432.225,96.62
432240000,432.24,96.50
432255000,432.255,64.00
432270000,432.27,81.12
432285000,432.285,88.12
432300000,432.3,64.50
432315000,432.315,77.25
432330000,432.33,69.75
432345000,432.345,99.25
432360000,432.36,85.38
432375000,432.375,99.50
432390000,432.39,90.00
432405000,432.405,91.88
432420000,432.42,96.25
432435000,432.435,53.88
432450000,432.45,33.75
432465000,432.465,46.12
432480000,432.48,56.38
432495000,432.495,25.12
432510000,432.51,56.00
432525000,432.525,35.88
432540000,432.54,87.75
432555000,432.555,95.25
432570000,432.57,89.75
432585000,432.585,20.50
432600000,432.6,3.12
432615000,432.615,2.62
432630000,432.63,4.12
432645000,432.645,6.38
432660000,432.66,3.75
432675000,432.675,3.00
432690000,432.69,2.62
432705000,432.705,19.12
432720000,432.72,11.75
432735000,432.735,26.88
432750000,432.75,93.00
432765000,432.765,21.62
432780000,432.78,4.75
432795000,432.795,3.75
432810000,432.81,5.25
432825000,432.825,0.00
432840000,432.84,0.00
432855000,432.855,0.00
432870000,432.87,0.00
432885000,432.885,0.00
432900000,432.9,0.00
432915000,432.915,0.00
432930000,432.93,0.00
432945000,432.945,0.00
432960000,432.96,0.00
432975000,432.975,0.00
432990000,432.99,0.00
433005000,433.005,0.12
433020000,433.02,0.00
433035000,433.035,0.38
433050000,433.05,0.38
433065000,433.065,0.00
433080000,433.08,0.00
433095000,433.095,0.00
433110000,433.11,0.38
433125000,433.125,0.00
433140000,433.14,0.00
433155000,433.155,0.38
433170000,433.17,0.00
433185000,433.185,0.75
433200000,433.2,1.12
433215000,433.215,1.50
433230000,433.23,1.88
433245000,433.245,3.00
433260000,433.26,2.25
433275000,433.275,53.88
433290000,433.29,19.50
433305000,433.305,34.25
433320000,433.32,4.12
433335000,433.335,3.38
433350000,433.35,8.38
433365000,433.365,5.25
433380000,433.38,1.50
433395000,433.395,6.75
433410000,433.41,3.38
433425000,433.425,6.75
433440000,433.44,86.38
433455000,433.455,77.00
433470000,433.47,35.75
433485000,433.485,7.88
433500000,433.5,10.88
433515000,433.515,6.00
433530000,433.53,9.25
433545000,433.545,26.62
433560000,433.56,89.88
433575000,433.575,19.25
433590000,433.59,69.38
433605000,433.605,100.00
433620000,433.62,91.12
433635000,433.635,90.62
433650000,433.65,83.38
433665000,433.665,48.88
433680000,433.68,92.12
433695000,433.695,26.88
433710000,433.71,71.12
433725000,433.725,29.88
433740000,433.74,96.00
433755000,433.755,87.62
433770000,433.77,94.12
433785000,433.785,96.50
433800000,433.8,97.50
433815000,433.815,99.00
433830000,433.83,84.50
433845000,433.845,94.38
433860000,433.86,85.62
433875000,433.875,90.75
433890000,433.89,86.50
433905000,433.905,87.62
433920000,433.92,85.00
433935000,433.935,67.88
433950000,433.95,80.12
433965000,433.965,95.38
433980000,433.98,68.62
433995000,433.995,54.12
