Timestamp,Frequencia_MHz,RSSI_dBm
2025-11-23T16:15:38.878617,430.0,-89
2025-11-23T16:15:38.884546,430.1,-89
2025-11-23T16:15:38.888585,430.2,-91
2025-11-23T16:15:38.894555,430.3,-86
2025-11-23T16:15:38.899549,430.4,-89
2025-11-23T16:15:38.903588,430.5,-94
2025-11-23T16:15:38.909534,430.6,-92
2025-11-23T16:15:38.914538,430.7,-86
2025-11-23T16:15:38.918585,430.8,-88
2025-11-23T16:15:38.924554,430.9,-89
2025-11-23T16:15:38.929545,431.0,-85
2025-11-23T16:15:38.934538,431.1,-88
2025-11-23T16:15:38.938585,431.2,-89
2025-11-23T16:15:38.944552,431.3,-87
2025-11-23T16:15:38.949550,431.4,-87
2025-11-23T16:15:38.953608,431.5,-83
2025-11-23T16:15:38.959576,431.6,-82
2025-11-23T16:15:38.964549,431.7,-85
2025-11-23T16:15:38.968590,431.8,-85
2025-11-23T16:15:38.974545,431.9,-84
2025-11-23T16:15:38.979560,432.0,-83
2025-11-23T16:15:38.983629,432.1,-85
2025-11-23T16:15:38.989569,432.2,-85
2025-11-23T16:15:38.994540,432.3,-89
2025-11-23T16:15:38.998599,432.4,-85
2025-11-23T16:15:39.004532,432.5,-87
2025-11-23T16:15:39.010472,432.6,-87
2025-11-23T16:15:39.013663,432.7,-88
2025-11-23T16:15:39.019557,432.8,-88
2025-11-23T16:15:39.024582,432.9,-89
2025-11-23T16:15:39.028655,433.0,-90
2025-11-23T16:15:39.034543,433.1,-87
2025-11-23T16:15:39.039575,433.2,-90
2025-11-23T16:15:39.043683,433.3,-87
2025-11-23T16:15:39.049552,433.4,-85
2025-11-23T16:15:39.054542,433.5,-84
2025-11-23T16:15:39.058617,433.6,-89
2025-11-23T16:15:39.064583,433.7,-90
2025-11-23T16:15:39.069538,433.8,-91
2025-11-23T16:15:39.073742,433.9,-90
2025-11-23T16:15:39.079568,434.0,-89
2025-11-23T16:15:39.084549,434.1,-89
2025-11-23T16:15:39.088630,434.2,-89
2025-11-23T16:15:39.094573,434.3,-89
2025-11-23T16:15:39.099538,434.4,-90
2025-11-23T16:15:39.103583,434.5,-90
2025-11-23T16:15:39.109549,434.6,-86
2025-11-23T16:15:39.114547,434.7,-89
2025-11-23T16:15:39.118583,434.8,-88
2025-11-23T16:15:39.124558,434.9,-90
2025-11-23T16:15:39.129539,435.0,-87
2025-11-23T16:15:39.133588,435.1,-88
2025-11-23T16:15:39.139556,435.2,-89
2025-11-23T16:15:39.144563,435.3,-86
2025-11-23T16:15:39.148597,435.4,-88
2025-11-23T16:15:39.154529,435.5,-87
2025-11-23T16:15:39.159539,435.6,-87
2025-11-23T16:15:39.163590,435.7,-88
2025-11-23T16:15:39.169531,435.8,-87
2025-11-23T16:15:39.174545,435.9,-88
2025-11-23T16:15:39.178626,436.0,-88
2025-11-23T16:15:39.184542,436.1,-90
2025-11-23T16:15:39.189552,436.2,-91
2025-11-23T16:15:39.193592,436.3,-89
2025-11-23T16:15:39.199551,436.4,-86
2025-11-23T16:15:39.204568,436.5,-90
2025-11-23T16:15:39.211510,436.6,-89
2025-11-23T16:15:39.214568,436.7,-90
2025-11-23T16:15:39.219565,436.8,-91
2025-11-23T16:15:39.223626,436.9,-89
2025-11-23T16:15:39.229744,437.0,-88
2025-11-23T16:15:39.234559,437.1,-90
2025-11-23T16:15:39.238952,437.2,-90
2025-11-23T16:15:39.243657,437.3,-88
2025-11-23T16:15:39.248609,437.4,-92
2025-11-23T16:15:39.253621,437.5,-92
2025-11-23T16:15:39.259566,437.6,-89
2025-11-23T16:15:39.263598,437.7,-90
2025-11-23T16:15:39.268608,437.8,-91
2025-11-23T16:15:39.273638,437.9,-91
2025-11-23T16:15:39.278642,438.0,-93
2025-11-23T16:15:39.283660,438.1,-90
2025-11-23T16:15:39.288673,438.2,-90
2025-11-23T16:15:39.293616,438.3,-90
2025-11-23T16:15:39.299536,438.4,-93
2025-11-23T16:15:39.303580,438.5,-87
2025-11-23T16:15:39.308645,438.6,-89
2025-11-23T16:15:39.313602,438.7,-90
2025-11-23T16:15:39.318600,438.8,-86
2025-11-23T16:15:39.323657,438.9,-89
2025-11-23T16:15:39.328618,439.0,-90
2025-11-23T16:15:39.333603,439.1,-85
2025-11-23T16:15:39.339566,439.2,-87
2025-11-23T16:15:39.343621,439.3,-89
2025-11-23T16:15:39.349583,439.4,-90
2025-11-23T16:15:39.353594,439.5,-90
2025-11-23T16:15:39.358668,439.6,-92
2025-11-23T16:15:39.364552,439.7,-89
2025-11-23T16:15:39.368590,439.8,-89
2025-11-23T16:15:39.374551,439.9,-84
2025-11-23T16:15:39.378623,440.0,-85
2025-11-23T16:15:39.883620,430.0,-88
2025-11-23T16:15:39.888630,430.1,-91
2025-11-23T16:15:39.893627,430.2,-89
2025-11-23T16:15:39.898611,430.3,-90
2025-11-23T16:15:39.903600,430.4,-90
2025-11-23T16:15:39.908654,430.5,-89
2025-11-23T16:15:39.913652,430.6,-92
